Id,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Download,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library,Call Number,Extra,Notes,Cover,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
HPX98BFJ,book,2012,"Bode, Katherine",Reading by numbers: recalibrating the literary field,,978-0-85728-454-9,,,http://www.anthempress.com/reading-by-numbers,"‘Reading by Numbers: Recalibrating the Literary Field’ proposes and demonstrates a new digital approach to literary history. Drawing on bibliographical information on the Australian novel in the AustLit database, the book addresses debates and issues in literary studies through a method that combines book history’s pragmatic approach to literary data with the digital humanities’ idea of computer modelling as an experimental and iterative practice. As well as showcasing this method, the case studies in ‘Reading by Numbers’ provide a revised history of the Australian novel, focusing on the nineteenth century and the decades since the end of the Second World War, and engaging with a range of themes including literary and cultural value, authorship, gender, genre and the transnational circulation of fiction. The book’s findings challenge established arguments in Australian literary studies, book history, feminism and gender studies, while presenting innovative ways of understanding literature, publishing, authorship and reading, and the relationships between them. More broadly, by demonstrating critical ways in which the growing number of digital archives in the humanities can be mined, modelled and visualised, ‘Reading by Numbers’ offers new directions and scope for digital humanities research.",2012,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,Reading by numbers,,,,,Anthem Press,New York,en,,,,,,,,"'Reading by Numbers: Recalibrating the Literary Field' is the first book to use digital humanities strategies to integrate the scope and methods of book and publishing history with issues and debates in literary studies. By mining, visualising and modelling data from 'AustLit' - an online bibliography of Australian literature that leads the world in its comprehensiveness and scope - this study revises established conceptions of Australian literary history, presenting new ways of writing about literature and publishing and a new direction for digital humanities research. The case studies in this book offer insight into a wide range of features of the literary field, including trends and cycles in the gender of novelists, the formation of fictional genres and literary canons, and the relationship of Australian literature to other national literatures.",,,,X-CHECK; goal_Analysis; AnalyzeStatistically; bigdata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAUB7GVC,book,2011,"Amy E. Earhart and Andrew Jewell, Editors",The American Literature Scholar in the Digital Age,,,,,http://hdl.handle.net/2027/spo.9362034.0001.001,"Observing the title and concerns of this collection, many may wonder why we have chosen to focus on the American literature scholar; certainly the concerns of digital humanities are relevant across literary specializations. In fact, as other digital humanities scholarship demonstrates, the humanities as a boundary is itself suspect: it is not uncommon to see collaborations between a literary scholar, a computer scientist, and a librarian in digital humanities work. The artificial distinctions that have replicated the discipline divisions have become less relevant to those working in digital humanities, who often group around subject matter, not training. Add to this the increasing breakdown of national boundaries in literary studies, and perhaps it seems antiquated or anathema to reproduce American as a term with which to saddle a supposedly cutting-edge collection of essays.",2011,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,,,en,,,,,,,,"""By casting the collection explicitly as an outreach to the larger community of Americanists---not primarily those who self-identify as 'digital scholars'---Earhart and Jewell have made an important choice, and one that will likely make this a landmark publication."" ---Andrew Stauffer, University of Virginia The American Literature Scholar in the Digital Age, which features a wide range of practitioner-scholars, is the first of its kind: a gathering of people who are expert in American literary studies and in digital technologies, scholars uniquely able to draw from experience with building digital resources and to provide theoretical commentary on how the transformation to new technologies alters the way we think about and articulate scholarship in American literature. The volume collects articles from those who are involved in tool development, usability testing, editing and textual scholarship, digital librarianship, and issues of race and ethnicity in digital humanities, while also situating digital humanities work within the larger literary discipline. In addition, the volume examines the traditional structures of the fields, including tenure and promotion criteria, modes of scholarly production, the skill sets required for scholarship, and the training of new scholars. The American Literature Scholar in the Digital Age will attract practitioners of digital humanities in multiple fields, Americanists who utilize digital materials, and those who are intellectually curious about the new movement and materials. Amy E. Earhart is Assistant Professor in the Department of English at Texas A&M University. Andrew Jewell is Associate Professor of Digital Projects, University Libraries, at the University of Nebraska–Lincoln. Cover art: Book background ©iStockphoto.com/natashika digitalculturebooks is an imprint of the University of Michigan Press and the Scholarly Publishing Office of the University of Michigan Library dedicated to publishing innovative and accessible work exploring new media and their impact on society, culture, and scholarly communication. Visit the website at www.digitalculture.org.",,,,meta_GiveOverview; obj_DigitalHumanities; obj_Literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGZB4SJ2,book,2013,,Empirie in der Literaturwissenschaft,,978-3-89785-458-1,,,http://www.ndl-medien.uni-kiel.de/personal/mitarbeiter/assistenten/christoph_rauen/empirie-in-der-literaturwissenschaft/image_view_fullscreen,"Literaturwissenschaftler wie Geisteswissenschaftler überhaupt grenzen sich häufig von den sogenannten »empirischen Wissenschaften« ab. Dem liegt aber ein verengtes Verständnis von Empirie zu Grunde, hinter das der Sammelband zurückzusetzen versucht. Ausgangspunkt der Beiträge ist eine Auffassung von Literaturwissenschaft als Realwissenschaft: Literarische Texte wie auch ihr historisches Bedingungsgefüge, die sogenannten Kontexte, gelten als empirisch beobachtbare Sachverhalte. Und auch wenn die eigentümliche ästhetische Erfahrung im Mittelpunkt steht, geht es nicht um Metaphysik, sondern um soziale und psychologische Realitäten, die anhand von Quellen rekonstruierbar und deren Gesetzmäßigkeiten interdisziplinär erforschbar sind. ›Empirisch‹ bezeichnet dabei nicht einen bestimmten Satz an Methoden, sondern viel grundsätzlicher den Versuch, Aussagen beobachtungssprachlich zu formulieren und auf diese Weise kritisierbar zu machen – eine Herangehensweise, die Literaturwissenschaftler mit Vertretern anderer Disziplinen teilen und für die es in der Geschichte des Fachs viele Beispiele gibt. Diese Traditionen methodologisch zu reflektieren und fortzusetzen ist das Ziel der hier versammelten Beiträge",2013,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,Mentis,Münster,de,,,,,,,,"<div data-schema-version=""9""><p>Literaturwissenschaftler wie Geisteswissenschaftler überhaupt grenzen sich häufig von den sogenannten »empirischen Wissenschaften« ab. Dem liegt aber ein verengtes Verständnis von Empirie zu Grunde, hinter das der Sammelband zurückzusetzen versucht. Ausgangspunkt der Beiträge ist eine Auffassung von Literaturwissenschaft als Realwissenschaft: Literarische Texte wie auch ihr historisches Bedingungsgefüge, die sogenannten Kontexte, gelten als empirisch beobachtbare Sachverhalte. Und auch wenn die eigentümliche ästhetische Erfahrung im Mittelpunkt steht, geht es nicht um Metaphysik, sondern um soziale und psychologische Realitäten, die anhand von Quellen rekonstruierbar und deren Gesetzmäßigkeiten interdisziplinär erforschbar sind. ›Empirisch‹ bezeichnet dabei nicht einen bestimmten Satz an Methoden, sondern viel grundsätzlicher den Versuch, Aussagen beobachtungssprachlich zu formulieren und auf diese Weise kritisierbar zu machen – eine Herangehensweise, die Literaturwissenschaftler mit Vertretern anderer Disziplinen teilen und für die es in der Geschichte des Fachs viele Beispiele gibt. Diese Traditionen methodologisch zu reflektieren und fortzusetzen ist das Ziel der hier versammelten Beiträge</p> </div>",,,,goal_Analysis; goal_Enrichment; meta_Assessing,"Ajouri, Philip; Mellmann, Katja; Rauen, Christoph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FG2PZXCL,book,2008,"Baayen, R Harald",Analyzing linguistic data. A practical introduction to statistics using R,,978-0-521-70918-7,,,,,2008,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,Cambridge University Press,Cambridge,en,,,,,,,,"A straightforward introduction to the statistical analysis of language data, designed for students with a non-mathematical background.",,,,meta_GiveOverview; AnalyzeStatistically; bigdata; obj_Language,,,,,,,,,,,,,,,,,,,,1. publ.,,,,,,,,,,,,,,,,,,,,,,,,,,
DXNV5YUP,book,2010,"Alpaydin, Ethem",Introduction to machine learning,,978-0-262-01243-0,,,http://mitpress.mit.edu/books/introduction-machine-learning,"The goal of machine learning is to program computers to use example data or past experience to solve a given problem. Many successful applications of machine learning exist already, including systems that analyze past sales data to predict customer behavior, optimize robot behavior so that a task can be completed using minimum resources, and extract knowledge from bioinformatics data. Introduction to Machine Learning is a comprehensive textbook on the subject, covering a broad array of topics not usually included in introductory machine learning texts. In order to present a unified treatment of machine learning problems and solutions, it discusses many methods from different fields, including statistics, pattern recognition, neural networks, artificial intelligence, signal processing, control, and data mining. All learning algorithms are explained so that the student can easily move from the equations in the book to a computer program. The text covers such topics as supervised learning, Bayesian decision theory, parametric methods, multivariate methods, multilayer perceptrons, local models, hidden Markov models, assessing and comparing classification algorithms, and reinforcement learning. New to the second edition are chapters on kernel machines, graphical models, and Bayesian estimation; expanded coverage of statistical tests in a chapter on design and analysis of machine learning experiments; case studies available on the Web (with downloadable results for instructors); and many additional exercises. All chapters have been revised and updated. Introduction to Machine Learning can be used by advanced undergraduates and graduate students who have completed courses in computer programming, probability, calculus, and linear algebra. It will also be of interest to engineers in the field who are concerned with the application of machine learning methods.",2010,2025-11-07 11:50:12,2025-11-07 11:50:12,,,537,,,,,,Adaptive computation and machine learning,,,,MIT Press,"Cambridge, Mass",en,,,,,,,,"A substantially revised fourth edition of a comprehensive textbook, including new coverage of recent advances in deep learning and neural networks. The goal of machine learning is to program computers to use example data or past experience to solve a given problem. Machine learning underlies such exciting new technologies as self-driving cars, speech recognition, and translation applications. This substantially revised fourth edition of a comprehensive, widely used machine learning textbook offers new coverage of recent advances in the field in both theory and practice, including developments in deep learning and neural networks. The book covers a broad array of topics not usually included in introductory machine learning texts, including supervised learning, Bayesian decision theory, parametric methods, semiparametric methods, nonparametric methods, multivariate analysis, hidden Markov models, reinforcement learning, kernel machines, graphical models, Bayesian estimation, and statistical testing. The fourth edition offers a new chapter on deep learning that discusses training, regularizing, and structuring deep neural networks such as convolutional and generative adversarial networks; new material in the chapter on reinforcement learning that covers the use of deep networks, the policy gradient methods, and deep reinforcement learning; new material in the chapter on multilayer perceptrons on autoencoders and the word2vec network; and discussion of a popular method of dimensionality reduction, t-SNE. New appendixes offer background material on linear algebra and optimization. End-of-chapter exercises help readers to apply concepts learned. Introduction to Machine Learning can be used in courses for advanced undergraduate and graduate students and as a reference for professionals.",,,,AnalyzeStatistically; obj_AnyObject; *****,,,,,,,,,,,,,,,,,,,,2nd ed,,,,,,,,,,,,,,,,,,,,,,,,,,
FBVURQH6,book,2010,"Borgman, Christine","Scholarship in the digital age: information, infrastructure, and the Internet",,978-0-262-51490-3,,,http://mitpress.mit.edu/books/scholarship-digital-age,"Scholars in all fields now have access to an unprecedented wealth of online information, tools, and services. The Internet lies at the core of an information infrastructure for distributed, data-intensive, and collaborative research. Although much attention has been paid to the new technologies making this possible, from digitized books to sensor networks, it is the underlying social and policy changes that will have the most lasting effect on the scholarly enterprise. In Scholarship in the Digital Age, Christine Borgman explores the technical, social, legal, and economic aspects of the kind of infrastructure that we should be building for scholarly research in the twenty-first century. Borgman describes the roles that information technology plays at every stage in the life cycle of a research project and contrasts these new capabilities with the relatively stable system of scholarly communication, which remains based on publishing in journals, books, and conference proceedings. No framework for the impending “data deluge” exists comparable to that for publishing. Analyzing scholarly practices in the sciences, social sciences, and humanities, Borgman compares each discipline’s approach to infrastructure issues. In the process, she challenges the many stakeholders in the scholarly infrastructure--scholars, publishers, libraries, funding agencies, and others--to look beyond their own domains to address the interaction of technical, legal, economic, social, political, and disciplinary concerns. Scholarship in the Digital Age will provoke a stimulating conversation among all who depend on a rich and robust scholarly environment. Christine L. Borgman is Professor and Presidential Chair in Information Studies at the University of California, Los Angeles. She is the author of From Gutenberg to the Global Information Infrastructure: Access to Information in the Networked World (MIT Press, 2000).",2010,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,Scholarship in the digital age,,,,,MIT Press,Cambridge  Mass. ;;London,en,,,,,,,,"An exploration of the technical, social, legal, and economic aspects of the scholarly infrastructure needed to support research activities in all fields in the twenty-first century. Scholars in all fields now have access to an unprecedented wealth of online information, tools, and services. The Internet lies at the core of an information infrastructure for distributed, data-intensive, and collaborative research. Although much attention has been paid to the new technologies making this possible, from digitized books to sensor networks, it is the underlying social and policy changes that will have the most lasting effect on the scholarly enterprise. In Scholarship in the Digital Age, Christine Borgman explores the technical, social, legal, and economic aspects of the kind of infrastructure that we should be building for scholarly research in the twenty-first century. Borgman describes the roles that information technology plays at every stage in the life cycle of a research project and contrasts these new capabilities with the relatively stable system of scholarly communication, which remains based on publishing in journals, books, and conference proceedings. No framework for the impending “data deluge” exists comparable to that for publishing. Analyzing scholarly practices in the sciences, social sciences, and humanities, Borgman compares each discipline's approach to infrastructure issues. In the process, she challenges the many stakeholders in the scholarly infrastructure—scholars, publishers, libraries, funding agencies, and others—to look beyond their own domains to address the interaction of technical, legal, economic, social, political, and disciplinary concerns. Scholarship in the Digital Age will provoke a stimulating conversation among all who depend on a rich and robust scholarly environment.",,,,meta_GiveOverview; obj_DigitalHumanities; act_Conceptualizing; obj_Infrastructures; obj_Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5C6SZDLV,book,2013,"Aiden, Erez; Michel, Jean-Baptiste",Uncharted: big data as a lens on human culture,,978-1-59448-745-3,,,,"""One of the most exciting developments from the world of ideas in decades, presented with panache by two frighteningly brilliant, endearingly unpretentious, and endlessly creative young scientists."" - Steven Pinker, author of The Better Angels of Our Nature Our society has gone from writing snippets of information by hand to generating a vast flood of 1s and 0s that record almost every aspect of our lives: who we know, what we do, where we go, what we buy, and who we love. This year, the world will generate 5 zettabytes of data. (That's a five with twenty-one zeros after it.) Big data is revolutionizing the sciences, transforming the humanities, and renegotiating the boundary between industry and the ivory tower. What is emerging is a new way of understanding our world, our past, and possibly, our future. In Uncharted, Erez Aiden and Jean-Baptiste Michel tell the story of how they tapped into this sea of information to create a new kind of telescope: a tool that, instead of uncovering the motions of distant stars, charts trends in human history across the centuries. By teaming up with Google, they were able to analyze the text of millions of books. The result was a new field of research and a scientific tool, the Google Ngram Viewer, so groundbreaking that its public release made the front page of The New York Times, The Wall Street Journal, and The Boston Globe, and so addictive that Mother Jones called it ""the greatest timewaster in the history of the internet."" Using this scope, Aiden and Michel-and millions of users worldwide-are beginning to see answers to a dizzying array of once intractable questions. How quickly does technology spread? Do we talk less about God today? When did people start ""having sex"" instead of ""making love""? At what age do the most famous people become famous? How fast does grammar change? Which writers had their works most effectively censored by the Nazis? When did the spelling ""donut"" start replacing the venerable ""doughnut""? Can we predict the future of human history? Who is better known-Bill Clinton or the rutabaga? All over the world, new scopes are popping up, using big data to quantify the human experience at the grandest scales possible. Yet dangers lurk in this ocean of 1s and 0s-threats to privacy and the specter of ubiquitous government surveillance. Aiden and Michel take readers on a voyage through these uncharted waters""--",2013,2025-11-07 11:50:12,2025-11-07 11:50:12,,,288,,,,,Uncharted,,,,,Riverhead Books,New York,eng,,,,,,,,"“One of the most exciting developments from the world of ideas in decades, presented with panache by two frighteningly brilliant, endearingly unpretentious, and endlessly creative young scientists.” – Steven Pinker, author of The Better Angels of Our Nature Our society has gone from writing snippets of information by hand to generating a vast flood of 1s and 0s that record almost every aspect of our lives: who we know, what we do, where we go, what we buy, and who we love. This year, the world will generate 5 zettabytes of data. (That’s a five with twenty-one zeros after it.) Big data is revolutionizing the sciences, transforming the humanities, and renegotiating the boundary between industry and the ivory tower. What is emerging is a new way of understanding our world, our past, and possibly, our future. In Uncharted, Erez Aiden and Jean-Baptiste Michel tell the story of how they tapped into this sea of information to create a new kind of telescope: a tool that, instead of uncovering the motions of distant stars, charts trends in human history across the centuries. By teaming up with Google, they were able to analyze the text of millions of books. The result was a new field of research and a scientific tool, the Google Ngram Viewer, so groundbreaking that its public release made the front page of The New York Times, The Wall Street Journal, and The Boston Globe, and so addictive that Mother Jones called it “the greatest timewaster in the history of the internet.” Using this scope, Aiden and Michel—and millions of users worldwide—are beginning to see answers to a dizzying array of once intractable questions. How quickly does technology spread? Do we talk less about God today? When did people start “having sex” instead of “making love”? At what age do the most famous people become famous? How fast does grammar change? Which writers had their works most effectively censored by the Nazis? When did the spelling “donut” start replacing the venerable “doughnut”? Can we predict the future of human history? Who is better known—Bill Clinton or the rutabaga? All over the world, new scopes are popping up, using big data to quantify the human experience at the grandest scales possible. Yet dangers lurk in this ocean of 1s and 0s—threats to privacy and the specter of ubiquitous government surveillance. Aiden and Michel take readers on a voyage through these uncharted waters.",,,,obj_Text; goal_Analysis; obj_Data; bigdata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMZW2GH2,book,2010,"Bailey, Charles W",Transforming scholarly publishing through open access: a bibliography,,978-1-4537-8081-7,,,http://digital-scholarship.org/tsp/,"Can scholarly journal articles and other scholarly works be made freely available on the Internet? The open access movement says ""yes,"" and it is having a significant impact on scholarly publishing",2010,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,Transforming scholarly publishing through open access,,,,,Digital Scholarship,"Houston, TX",en,,,,,,,,"Can scholarly journal articles and other scholarly works be made freely available on the Internet? The open access movement says ""yes,"" and it is having a significant impact on scholarly publishing. There are two major open access strategies: (1) open access journals publish articles (typically peer-reviewed articles) that are free of charge and may be able to be reused under an open license (e.g., a Creative Commons license), and (2) self-archiving of digital e-prints (typically prepublication versions of articles) by authors in digital repositories, where they can be accessed free of charge and sometimes reused. Transforming Scholarly Publishing through Open Access: A Bibliography, which has over 1,100 references, provides in-depth coverage of published journal articles, books, and other works about the open access movement. Many references have links to freely available copies of included works.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IH63FD55,book,2002,"Burton, Orville Vernon",Computing in the Social Sciences and Humanities,,978-0-252-02685-0,,,http://www.press.uillinois.edu/books/catalog/72exq4pd9780252026850.html,"A lively, hands-on introduction for teachers and scholars in the humanities and social sciences, this book-and-CD package will inspire even the faint-hearted to take the technological bull by the horns and make efficient, informed use of computer and Internet resources. New technology is changing the very nature of research and teaching in the social sciences and humanities. From specialized online forums to Web-based teaching and distance learning, computers are being used to expand educational opportunities, promote cooperation and collaboration, stimulate creative thinking, and find answers to previously insoluble research problems. Combining interactive projects in a CD-ROM format with informative printed essays, this volume showcases innovations that are revolutionizing the craft of scholarship. More than that, it examines realistically how applicable the new technology is to learning. Contributors clarify some of the difficulties of using computers and address problems with the philosophy and culture of computers, including concerns about intellectual property protection and the potential for creating a technological underclass of electronically disadvantaged schools and universities. The accompanying CD features multimedia entries such as an interactive project on owls that educates users about forest ecology; RiverWeb, an interactive archive of information on the history, culture, and science of the Mississippi River; and ""Global Jukebox,"" which recreates the context in which the folklorist Alan Lomax made his pioneering field recordings. The CD includes links to many external sites on the World Wide Web. For those with limited Internet access, a collection of relevant sites is integrated into the CD. Minimum System Requirements 32 MB available RAM, CD-ROM drive (4x) Some articles and programs also require 256-color monitor and sound capability Macintosh®: System 8.5 Windows®: Intel Pentium® processor (or equivalent) running Windows® 95 or Windows NT® 4.0 Orville Vernon Burton is a professor of history and sociology at the University of Illinois at Urbana-Champaign and professor and senior research scientist at the National Center for Supercomputing Applications at the University of Illinois. He is the author of In My Father's House Are Many Mansions: Family and Community in Edgefield, South Carolina.",2002,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,University of Illinois Press,Urbana,en,,,,,,,,CD-ROm contains: Multimedia that provides unique approach to various disciplines in the social sciences and humanities -- Links to related resources.,,,,meta_GiveOverview; obj_DigitalHumanities,,,,"Burton, Orville Vernon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4LI8EHEE,book,2012,,Understanding Digital Humanities,,978-0-230-29264-2,,,http://www.palgrave.com/page/detail/?sf1=id_product&st1=493310,"The application of new computational techniques and visualisation technologies in the Arts and Humanities are resulting in fresh  approaches and methodologies for the study of new and traditional corpora. This 'computational turn' takes the methods and techniques from computer science to create innovative means of close and distant reading. This book discusses the implications and applications of 'Digital Humanities' and the questions raised when using algorithmic techniques. Id researchers in the field provide a comprehensive introduction to important debates surrounding issues such as the contrast between narrative versus database, pattern-matching versus hermeneutics, and the statistical paradigm versus the data mining paradigm. Also discussed are the new forms of collaboration within the Arts and Humanities that are raised through modular research teams and new organisational structures, as well as techniques for collaborating in an interdisciplinary way.",2012,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,Palgrave Macmillan,,en,,,,,,,,"Confronting the digital revolution in academia, this book examines the application of new computational techniques and visualisation technologies in the Arts & Humanities. Uniting differing perspectives, leading and emerging scholars discuss the theoretical and practical challenges that computation raises for these disciplines.",,,,meta_GiveOverview; obj_DigitalHumanities,"Berry, David M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
