Blank Column,Id,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Download,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive_Location,Library,Call_Number,Extra,Notes,Cover,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
,GDBNW89P,book,1826,"Arguindegui, José María",Los Militares de la provincia de Carabobo,,,,,https://books.google.com/books/download/los_militares_de_la_provincia_de_carabolo_a_reply_to_a_pamphlet_by_general_bermúdez_upon_the_revolut.pdf?id=0qNcAAAAcAAJ&output=pdf,"Poco falta para que los cómplices ó siervos del jeneral Santander digan... que ""los pueblos no deben tener mas derechos que aquellos que emаnen de la voluntad de sus soberanos"" así como los colombianos... no podemos tener mas derechos que los que nos quiera conceder la faccion de Bogotá .",1826,2025-12-16 14:26:21,2026-03-23 20:10:02,,,12.0,,,,,,,,,,Imprenta Republicana,,es,,,Google Books,British Museum,,http://books.google.com/books/content?id=0qNcAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Venezuela  [A reply to a pamphlet by General Bermúdez, upon the revolutionary movement in Venezuela. Signed by J. M. Arguindegui, P. Celis, S. García, and others.]","<div data-schema-version=""9""><p>Poco falta para que los cómplices ó siervos del jeneral Santander digan como el emperador de Rusia con motivo de la revolucion de España y Nápoles en 1820 que ""<em>los pueblos no deben tener mas derechos que aquellos que emаnen de la voluntad de sus soberanos</em>"" así como los colombianos, si es verdad que se sanciona este principio entre nosotros, no podemos tener mas derechos que los que nos quiera conceder la faccion de Bogotá .</p> </div>",/home/febres/Zotero/storage/9HZFJ5IP/Arguindegui - 1826 - Los Militares de la provincia de Carabobo.png,,curado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59Q2W39P,book,1841,"Baralt, Rafael María; Díaz, Ramón","Resúmen de la Historia de Venezuela, desde el año de 1797 hasta el de 1830. Tomo II.",,,,,https://books.google.com/books/download/resúmen_de_la_historia_de_venezuela_desde_el_descubrimiento_de_su_territorio_por_los_castellanos_en_.pdf?id=RwRmAAAAcAAJ&output=pdf,,1841,2025-12-16 14:26:21,2025-12-16 14:26:21,,,910.0,,,,,,,,,,,,es,,,Google Books,,,http://books.google.com/books/content?id=RwRmAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GD7F9KIS,book,1811,"Baralt, Rafael María; Díaz, Ramón","Resúmen de la Historia de Venezuela, desde el año de 1797 hasta el de 1830. Tomo I.",,,,,https://books.google.com/books/download/resúmen_de_la_historia_de_venezuela_desde_el_año_de_1797_hasta_el_de_1830__tiene_al_fin_un_breve_bos.pdf?id=T640POVGkq0C&output=pdf,,1811,2025-12-16 14:26:21,2025-12-17 19:53:38,,,416.0,,,,,,,,,,,,es,,,Google Books,,,http://books.google.com/books/content?id=T640POVGkq0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAZ7F685,book,1849,"Baralt, Rafael María; Fernández Cuesta, Nemesio",Programas políticos. Cuestiones preliminares al examen histórico y científico de los prospectos o programas políticos que han visto la luz en España desde Enero de 1848 hasta principios de 1849,,,,,https://books.google.com/books/download/programas_políticos_cuestiones_preliminares_al_examen_histórico_y_científico_de_los_prospectos_o_pro.pdf?id=Fxeqtl2QovEC&output=pdf,,1849,2025-12-16 14:26:21,2025-12-17 19:53:42,,,232.0,,,,,,,,,,,,es,,,Google Books,,,http://books.google.com/books/content?id=Fxeqtl2QovEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,V2457KS4,book,1876,"Blanco, José Félix","Documentos para la historia de la vida pública del libertador de Colombia, Peru y Bolivia. Tomo VII",,,,,https://books.google.com/books/download/documentos_para_la_historia_de_la_vida_pública_del_libertador_de_colombia_peru_y_bolivia.pdf?id=opyc5krAmMQC&output=pdf,,1876,2025-12-16 14:26:21,2025-12-16 14:26:21,,,808.0,,,,,,,,,,,,es,,,Google Books,,,http://books.google.com/books/content?id=opyc5krAmMQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GVCTELQ9,book,1867,"Bolet Peraza, Nicanor",Memoria sobre los Efectos de las Píldoias Tocológicas en la curacion de los abortos y enfermedades de la matriz,,,,,https://books.google.com/books/download/memoria_sobre_los_efectos_de_las_píldoias_tocológicas_en_la_curacion_de_los_abortos_y_enfermedades_d.pdf?id=nbEuvr0ieaIC&output=pdf,,1867,2025-12-16 14:26:21,2025-12-17 15:29:59,,,36.0,,,,,,,,,,Imprenta de Jose R. Henriquez,,es,,,Google Books,British Museum,,http://books.google.com/books/content?id=nbEuvr0ieaIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3U5JWLSY,book,1871,"Bolívar, Simón","Correspondencia general del libertador Simon Bolívar: enriquecida con la insercion de los manifestos, mensagesexposiciones, proclamas,&.&.",,,,,https://books.google.com/books/download/correspondencia_general_del_libertador_simon_bolívar.pdf?id=LeCt0lBSEUgC&output=pdf,,1871,2025-12-16 14:26:21,2025-12-16 14:26:21,,,674.0,,,,,,,,,,,,es,,,Google Books,,,http://books.google.com/books/content?id=LeCt0lBSEUgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KH9WTLUW,book,1830,"Brandt, Federico",Manifestacion que presenta al público Federico Brantd [sic] del resultado de la causa promovida contra el por la falsa imputacion de fraudes contra el Erario,,,,,http://books.google.com.co/books/download/Manifestacion_que_presenta_al_p%C3%BAblico_F.pdf?id=Pj5VAAAAcAAJ&hl=&output=pdf&sig=ACfU3U1OJDz0m4FtlaqL9EhcCAuEihXAXA&source=gbs_api,,1830,2025-12-16 14:26:21,2026-02-26 22:07:57,,,58.0,,,,,,,,,,Imprenta de V. Espinal,Caracas,es,,,Google Books,British Museum,,http://books.google.com/books/content?id=Pj5VAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Venezuela,"<div data-schema-version=""9""><p>Yo no pude menos de créer que el coronel habia perdido el juicio, porque no podia adivinar que estaba de antemano confabulado con los generales Jacinto Lara y Justo Briceño, los tesoreros Manual José Amador y José Ignacio Balbuena, y el agente del crédito público Lucas Baralt, los que habian formado el criminal proyecto de envolverme en un litis con la hacienda pública, á fin de inutilizarme para la accion que sostenia contra mis consocios, valiéndose para esto del medio de suponer que yo habia entrado á ser socio de la casa en una época en que no pensaba en unir mi industria y capital á compañeros de tan mala fé.</p> </div>",,,curado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,YTTKEVHD,book,1939,"Baralt, Rafael María; Díaz, Ramón",Resumen de la historia de Venezula desde el año de 1797 hasta el de 1830,,,,,https://books.google.com/books/download/resumen_de_la_historia_de_venezula_desde_el_año_de_1797_hasta_el_de_1830.pdf?id=9X80AAAAIAAJ&output=pdf,,1939,2025-12-16 14:26:21,2025-12-16 14:26:21,,,500.0,,,,,,,,,,,,es,,,Google Books,,,http://books.google.com/books/content?id=9X80AAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6WULTY94,book,1881,"Bello, Andrés; Rojas, Arístides; Caro, Miguel Antonio; Gómez, Ruperto","A la memoria de Andrés Bello en su centenario: homenaje del ""Repertorio colombiano.""",,,,,http://books.google.com.co/books/download/A_la_memoria_de_Andr%C3%A9s_Bello_en_su_cent.pdf?id=HjntAAAAMAAJ&hl=&output=pdf&sig=ACfU3U3SyAqN6l3tPAkZzRwq2Y5mqwp3wQ&source=gbs_api,,1881,2025-12-16 14:26:21,2025-12-16 14:26:21,,,142.0,,,,,,,,,,,,es,,,Google Books,,,http://books.google.com/books/content?id=HjntAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
