"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
TQCICIWI,book,2004,"Simsion, Graeme",Data modeling essentials,,978-0-12-644551-0,,,http://shop.oreilly.com/product/9780126445510.do,"Data Modeling Essentials, Third Edition provides expert tutelage for data modelers, business analysts and systems designers at all levels. Beginning with the basics, this book provides a thorough grounding in theory before guiding the reader through the various stages of applied data modeling and database design. Later chapters address advanced subjects, including business rules, data warehousing, enterprise-wide modeling and data management. The third edition of this popular book retains its distinctive hallmarks of readability and usefulness, but has been given significantly expanded coverage and reorganized for greater reader comprehension. Authored by two leaders in the field, Data Modeling Essentials, Third Edition is the ideal reference for professionals and students looking for a real-world perspective.",2004,2025-11-07 11:50:12,2025-11-07 11:50:12,,,560,,,,,,,,,,Morgan Kaufmann,Amsterdam,en,,,,,,,,,,,,meta_GiveOverview; goal_Analysis; act_Modeling; goal_Interpretation,,,,,,,,,,,,,,,,,,,,3. ed.,,,,,,,,,,,,,,,,,,,,,,,,,,
MZJ6V9X7,book,2011,,eScholarship: Archaeology 2.0: New Approaches to Communication and Collaboration,,,,,http://escholarship.org/uc/item/1r6137tb,,2011,2025-11-07 11:50:12,2025-11-07 11:50:12,2011-08-19 07:49:24,,296,,,,,,Cotsen Digital Archaeology series,,,,"Cotsen Institute of Archaeology, UC Los Angeles",Los Angeles,en,,,,,,,,,,,,meta_GiveOverview; obj_Artefacts,"Kansa, Eric C.; Kansa, Sarah Whitcher; Watrall, Ethan",,,,,,,,,,,,,,,,,,,E-Book Edition,,,,,,,,,,,,,,,,,,,,,,,,,,
NMXGPPLR,book,2008,,The Hyperlinked Society: Questioning Connections in the Digital Age,,,,,http://hdl.handle.net/2027/spo.5680986.0001.001,,2008,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,The Hyperlinked Society,,,,,Univ. of Michigan Press,Ann Arbor,en,,,,,,,,,,,,X-CHECK,"Turow, Joseph; Tsui, Lokman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMZW2GH2,book,2010,"Bailey, Charles W",Transforming scholarly publishing through open access : a bibliography,,978-1-4537-8081-7,,,http://digital-scholarship.org/tsp/,"Can scholarly journal articles and other scholarly works be made freely available on the Internet? The open access movement says ""yes,"" and it is having a significant impact on scholarly publishing",2010,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,Transforming scholarly publishing through open access,,,,,Digital Scholarship,"Houston, TX",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KESJPAUM,book,2004,"Andersen, Deborah Lines","Digital scholarship in the tenure, promotion, and review process",,978-0-7656-1113-0,,,http://www.tandfonline.com/doi/pdf/10.1080/01972240490508144#.UozJvSeiLk0,"To receive tenure college and university professors have long been required to write scholarly monographs or articles, engage in serious research, and teach effectively. In recent years, however, the emergence of digital scholarship has revolutionized -- and complicated -- the picture in unexpected ways as new electronic media have enabled academics to communicate scholarly material in innovative formats such as websites, PowerPoint presentations, CD-ROMs, and virtual reality ""tours."" Despite this growing output of sophisticated digital scholarship, there has been little attempt to set standards, define basic issues and concepts, or integrate electronic scholarship into the tenure debate. This collection of cutting-edge articles marks the first effort to evaluate the place of digital scholarship in the tenure, promotion, and review process. As a primer aimed at scholars, faculty members, and department chairs in the humanities, social sciences, and other fields, as well as deans, provosts, and university administrators, this collection examines the evolution of nontraditional scholarship, analyzes the various formats, and suggests guidelines for assessment on a scholarly level. It also examines the impact of digital scholarship in the classroom and academy and explores new directions for the future. This book will help shape policy in the murky world of tenure review and become a point of reference for scholars and administrators everywhere.",2004,2025-11-07 11:50:12,2025-11-07 11:50:12,,,277,,,,,,,,,,M.E. Sharpe,"Armonk, N.Y.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XHUSKENU,book,2011,,Les historiens et l'information : un métier àé rinventer,,,,,,,2011,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,École française de Rome,Rome,,,,,,,,,,,,,,"Genet, Jean-Philippe; Zorzi, Andrea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4IJB6VD,book,2007,"Turkel, William J.; MacEachern, Alan",The Programming Historian,,,,,http://niche-canada.org/member-projects/programming-historian/ch1.html,,2007,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,Network in Canadian History & Environment (NICHE),"London, Ontario",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online Edition,,,,,,,,,,,,,,,,,,,,,,,,,,
VM6LUTIT,book,1995,"Rommel, Thomas",And Trace it in this Poem Every Line. Methoden und Verfahren computerunterstuetzter Textanalyse am Beispiel von Lord Byrons Don Juan,,,,,,,1995,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,Tübingen: Gunter Narr 1995,,en,,,,,,,"Rommel, Thomas: And Trace it in this Poem Every Line. Methoden und Verfahren computerunterstuetzter Textanalyse am Beispiel von Lord Byrons Don Juan. Tübingen: Gunter Narr 1995.",,,,,obj_Literature; AnalyzeQualitatively; meta_Theorizing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNCPFGLI,book,2013,,Guide to Creative Commons for Humanities and Social Sciences Monograph Authors,,,,,http://oapen-uk.jiscebooks.org/ccguide/,"An output of the OAPEN-UK project, this guide explores concerns expressed in public evidence given by researchers, learned societies and publishers to inquiries in the House of Commons and the House of Lords, and also concerns expressed by researchers working with the OAPEN-UK project. We have also identified a number of common questions and have drafted answers, which have been checked by experts including Creative Commons. The guide has been edited by active researchers, to make sure that it is relevant and useful to academics faced with making decisions about publishing.",2013,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,OpenUK Project,,en,,,,,,,,,,,,,"Baker, James; Eve, Martin Paul; Priego, Ernesto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4BPVPHGI,book,2003,"Lock, Gary R",Using Computers in Archaeology: Towards Virtual Pasts,,978-0-415-16770-3,,,http://www.amazon.de/Using-Computers-Archaeology-Towards-Virtual/dp/0415167701,"Today, archaeologists are spending more and more time examining the past with the aid of computers. How does this increased dependence on technology affect the theory and practice of archaeology? Using Computers in Archaeology is a comprehensive review of computer applications in archaeology from the archaeologist's perspective. The book deals with all aspects of the discipline, from survey and excavation, to museums and education. Discussion covers the theoretical aspects of computer applications, with particular reference to GIS and the analysis of data, but technical jargon is kept to a minimum. With numerous illustrations, case-studies and examples, Using Computers in Archaeology is a timely introduction to this increasingly important area of archaeology, catering both for the student and the experienced archaeologist.",2003,2025-11-07 11:50:12,2025-11-07 11:50:12,,,300,,,,,,towards virtual pasts,,,,Psychology Press,,en,,,,,,,,,,,,meta_GiveOverview; obj_Artefacts; obj_Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U4NHP8A9,book,2009,,Working Together or Apart: Promoting the Next Generation of Digital Scholarship,,978-1-932326-33-8,,,http://www.clir.org/pubs/reports/pub145/pub145.pdf,,2009,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,Council on Library and Information Resources (CLIR),"Washington, DC",en,,,,,,,Report of a Workshop Cosponsored by the Council on Library and Information Resources and The National Endowment for the Humanities,,,,,obj_Infrastructures; meta_Assessing; meta_Advocating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LASJ2574,book,1994,"Kehren, Georg",Möglichkeiten und Grenzen der computativen Auswertung von Daten des Atlas der deutschen Volkskunde (ADV),,,,,http://www.amazon.de/M%C3%B6glichkeiten-computativen-Auswertung-deutschen-Volkskunde/dp/3924928169,Thesis (PhD level),1994,2025-11-07 11:50:12,2025-11-07 11:50:12,,,277,,,,,,Bonner kleine Reihe zur Alltagskultur,2,,,Kehren,Erkelenz,de,,,,,,,,,,,,obj_Maps; AnalyzeStatistically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32DMLIRT,book,1988,"Wanske, Helene",Musiknotation : von der Syntax des Notenstichs zum EDV-gesteuerten Notensatz,,978-3-7957-2886-1,,,http://www.amazon.de/Musiknotation-Syntax-Notenstichs-EDV-gesteuerten-Notensatz/dp/379572886X,,1988,2025-11-07 11:50:12,2025-11-07 11:50:12,,,459,,,,,,,,,,Schott,Mainz [u.a.],de,,,,,,,,,,,,act_Publishing; obj_Music; t_Encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65BWI79T,book,2010,,Scalability issues in authorship attribution.,,978-90-5487-823-0,,,,"This book is about authorship attribution, the task that aims to identify the author of a text, given a model of authorial style based on texts of known authorship. Computational authorship attribution does not rely on in-depth reading, but rather automates the process. This book investigates the behavior of a text categorization approach to the task when confronted with scalability issues. By addressing the issues of experimental design, data size, and author set size, the dissertation demonstrates whether the approach taken is valid in experiments with limited or sufficient data, and with small or large sets of authors. ""Scalability issues in authorship attribution"" provides the first in-depth and systematic study of the so-called scalability issues in authorship attribution. Above all, the book stresses the importance of methodology: even the smallest of decisions can significantly influence the outcome and reliability of an experiment.",2010,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,ASA Publishers,Brussel,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJW8ME5I,book,2012,,Read/Write Book 2 : Une introduction aux humanités numériques,,,,,http://books.openedition.org/oep/226,"Qu’est-ce que les humanités numériques ? Apparue en 2006, l’expression connaît depuis un véritable succès. Mais au-delà du slogan à la mode, quelle est la réalité des pratiques qu’il désigne ? Si tout le monde s’accorde sur une définition minimale à l’intersection des technologies numériques et des sciences humaines et sociales, les vues divergent lorsqu’on entre dans le vif du sujet. Les humanités numériques représentent-elles une véritable révolution des pratiques de recherche et des paradigmes intellectuels qui les fondent ou, plus simplement, une optimisation des méthodes existantes ? Constituent-elles un champ suffisamment structuré pour justifier une réforme des modes de financement de la recherche, des cursus de formation, des critères d’évaluation ? L’archive numérique offre-t-elle à la recherche suffisamment de garanties ? Quelle place la recherche « dirigée par les données » laisse-t-elle à l’interprétation ? Telles sont quelques-unes des questions abordées par ce deuxième opus de la collection « Read/Write Book ». Ces dix-huit textes essentiels, rédigés ou traduits en français par des chercheurs de différentes nationalités, proposent une introduction aux humanités numériques accessible à tous ceux qui souhaitent en savoir plus sur ce domaine de recherche en constante évolution.",2012,2025-11-07 11:50:12,2025-11-07 11:50:12,2013-10-19 14:19:01,,,,,,,Read/Write Book 2,,,,,OpenEdition Press,,fr,"© OpenEdition Press, 2012 Conditions d'utilisation : http://www.openedition.org/6540",,,,,,,,,,,,"Mounier, Pierre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ZKQRZQT,book,2013,,Open Access monographs in the humanities and social sciences conference,,,,,jisc-­‐collections.ac.uk/reports/oabooksreport,"On the 1 and 2 July 2013, JISC Collections, in partnership with OAPEN Foundation, held the Open Access Monographs in the Humanities and Social Sciences conference (#OAbooks). Hosted at the British Library and sponsored by Jisc, AHRC, ESRC, FWF and NWO, the conference was attended by over 250 delegates from across the world and from all areas of scholarly communications. Chaired by Martin Hall, Vice Chancellor of the University of Salford, the conference provided the opportunity to discuss the challenges of moving to an open access model for monographs, learn about new initiatives and to share ideas for where collaboration could help support the adoption of open access monograph publishing in the humanities and social sciences (HSS).",2013,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,JISC,London,en,CC-BY,,,,,,,,,,,,"Ferwerda, Eelco; Milloy, Caren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
